protein	peaks_raw	windows	test_windows	off_chrom	no_region	duplicate	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX
BCLAF1	32524	32389	5489	121	14	0	2973	4502	2044	1440	1745	2110	1238	1148	1127	1431	1397	1671	803	1532	1206	1085	1528	596	377	858	384	289	905
PPIG	23165	23135	4317	30	0	0	1923	1731	1332	389	561	1075	839	646	1004	536	1326	1133	222	788	463	1858	2273	193	1863	1246	411	828	495
CSTF2T	20423	20383	3939	6	34	0	1385	943	536	680	363	393	1543	852	1471	556	1147	639	441	545	195	1998	2065	227	2147	846	577	602	232
GRWD1	22116	22078	3815	32	6	0	1890	2319	1049	593	930	1307	832	620	910	657	1028	1143	324	1033	510	1268	1817	206	1226	1219	242	505	450
PRPF8	19793	19784	3652	9	0	0	1574	1725	958	361	574	955	755	525	824	517	1080	975	243	663	373	1561	1934	158	1707	1173	213	577	359
TARDBP	19479	19463	3644	12	4	0	1515	1569	941	555	658	920	1972	698	635	980	883	709	562	396	393	1149	1358	367	951	803	504	524	421
HNRNPM	13465	13427	2580	37	1	0	844	1564	782	358	405	931	898	495	437	689	551	342	353	404	407	1047	710	220	521	617	245	404	203
SUGP2	14460	14413	2113	43	4	0	849	1810	849	575	507	1284	1087	636	548	719	627	734	403	605	303	545	357	306	197	628	123	304	417
AQR	11179	11176	2080	1	2	0	926	1016	533	213	320	611	400	277	464	277	618	573	80	377	147	877	1081	61	1041	663	114	286	221
UPF1	9766	9760	2050	0	6	0	1006	638	433	172	275	351	420	254	454	303	540	456	68	221	197	741	996	38	977	487	124	428	181
U2AF2	10732	10702	1760	29	1	0	882	1400	638	463	482	766	505	315	385	446	515	582	317	473	265	432	588	162	179	402	105	131	269
FAM120A	8226	8206	1655	1	19	0	690	527	257	242	189	213	481	326	535	222	432	231	116	227	90	743	759	88	853	372	284	210	119
PCBP2	8666	8659	1608	5	2	0	669	631	416	170	286	486	414	266	283	326	567	471	128	266	180	613	644	111	729	499	60	200	244
PRPF4	9345	9315	1592	9	21	0	683	713	372	216	193	445	511	300	392	229	575	325	143	269	157	680	921	118	890	497	193	272	221
QKI	10094	9990	1551	101	3	0	709	1208	742	374	425	819	540	392	343	474	432	541	370	405	226	368	431	168	139	300	97	149	338
DDX3X	8444	8398	1471	0	46	0	706	747	506	237	363	446	353	315	324	259	445	407	101	298	228	506	599	121	559	374	102	216	186
EFTUD2	7517	7515	1428	2	0	0	590	531	375	102	179	301	275	178	294	152	402	311	54	304	101	686	905	51	669	585	134	204	132
PTBP1	8388	8362	1370	23	3	0	657	849	565	278	325	593	512	330	301	382	395	434	203	343	205	331	363	181	312	301	69	159	274
RBFOX2	7477	7461	1319	2	14	0	487	518	290	241	180	307	436	241	279	208	413	245	131	175	127	624	679	116	702	464	147	318	133
HNRNPL	9007	8877	1309	129	1	0	500	918	540	445	329	619	573	308	311	365	549	430	295	226	152	444	354	191	293	304	204	215	312
AKAP1	5945	5943	1287	0	2	0	605	354	263	84	155	157	218	131	324	208	379	270	26	115	93	474	715	20	601	335	90	248	78
SF3B4	5912	5908	1140	3	1	0	459	361	253	90	137	237	208	140	214	112	309	269	47	178	83	569	732	19	637	428	75	233	118
SND1	7096	7095	1111	1	0	0	676	547	460	350	259	413	267	184	292	204	530	360	101	292	233	231	414	71	575	241	67	91	237
G3BP1	6487	6482	1093	4	1	0	574	705	436	148	258	285	218	152	296	194	400	298	24	310	109	325	632	60	337	228	66	142	285
MATR3	7009	6991	1056	15	3	0	380	970	375	304	221	653	518	302	202	380	232	368	191	316	115	296	194	93	82	313	66	156	264
HNRNPK	5707	5679	1019	27	1	0	380	398	244	94	125	320	314	179	243	157	270	244	97	168	79	482	499	43	613	422	56	139	113
RPS3	5659	5658	857	0	1	0	495	508	375	190	175	398	239	151	199	141	344	325	36	212	128	221	440	25	513	214	54	108	167
LARP4	5430	5429	854	1	0	0	439	337	244	107	173	277	206	119	174	105	445	259	39	210	149	310	463	30	722	227	63	191	140
BUD13	4298	4297	853	1	0	0	329	339	218	70	104	193	163	113	275	107	188	210	46	184	64	417	374	32	315	283	68	123	82
IGF2BP1	4459	4444	786	15	0	0	345	560	233	138	193	232	316	172	72	144	179	264	91	132	81	297	274	35	201	195	74	109	107
KHSRP	5301	5289	786	12	0	0	359	957	366	201	262	423	235	148	124	274	240	258	181	217	119	153	230	77	47	183	77	22	136
XPO5	4633	4623	775	6	4	0	272	345	196	122	135	195	274	132	234	126	410	199	105	120	102	377	345	48	296	189	130	191	80
NKRF	3858	3843	749	7	8	0	273	226	130	105	92	126	231	155	277	118	189	97	49	134	54	358	338	44	359	219	100	112	57
GTF2F1	4487	4476	747	0	11	0	283	382	175	122	91	252	221	128	179	117	367	155	99	110	72	347	402	50	338	211	149	130	96
PABPN1	3963	3949	715	12	2	0	308	148	282	39	57	165	135	108	243	69	221	97	21	174	42	338	363	7	407	365	131	125	104
EIF3H	2842	2832	709	9	1	0	342	279	125	131	48	195	99	64	220	101	81	157	39	50	101	266	197	17	74	99	27	46	74
ILF3	3523	3513	675	5	5	0	249	363	169	122	83	147	178	79	80	138	252	150	51	174	47	288	291	23	163	236	21	81	128
FXR2	3878	3874	643	1	3	0	376	551	170	70	129	368	116	174	148	77	196	175	27	259	66	190	315	17	91	90	74	50	145
HLTF	3657	3645	641	10	2	0	262	371	183	150	83	333	230	179	129	187	184	152	86	104	121	192	173	52	102	145	62	75	90
SUB1	3299	3297	630	0	2	0	382	237	190	120	148	240	142	100	73	124	204	240	25	96	110	124	223	42	137	80	33	67	160
LIN28B	3763	3762	596	1	0	0	335	476	261	160	126	254	156	129	138	105	221	228	50	107	116	156	240	43	169	137	23	51	81
NCBP2	3235	3226	595	4	5	0	291	317	160	105	108	162	166	101	114	115	186	128	53	132	80	189	281	43	183	159	38	62	53
HNRNPC	3275	3271	594	3	1	0	233	418	221	83	89	254	158	92	95	121	95	141	68	184	72	240	229	31	78	213	20	38	98
DDX59	3104	3089	573	10	5	0	219	133	111	61	84	100	158	63	126	65	202	171	69	70	44	289	253	29	449	219	37	63	74
DKC1	2655	2654	523	1	0	0	315	167	146	65	112	77	140	33	98	58	215	135	64	116	59	150	259	46	78	152	65	30	74
SFPQ	2566	2564	473	2	0	0	145	294	129	70	34	179	168	69	110	97	189	50	84	44	54	231	246	23	114	132	41	32	29
LSM11	2451	2446	461	2	3	0	214	128	164	31	31	102	79	68	147	42	148	83	14	219	38	205	250	11	131	186	42	56	57
SF3A3	2357	2357	448	0	0	0	183	190	137	35	43	94	78	37	94	66	131	105	20	93	23	199	271	20	158	222	44	75	39
ZNF800	2953	2938	433	15	0	0	244	541	159	98	70	275	125	86	109	102	124	181	43	110	41	87	154	18	89	133	40	39	70
AGGF1	3764	3764	427	0	0	0	148	248	94	118	57	133	231	64	221	78	546	225	91	72	33	201	267	37	264	76	274	205	81
UCHL5	2234	2233	410	1	0	0	180	319	104	40	47	132	73	46	110	60	78	106	24	126	35	170	174	7	99	200	28	41	34
FUBP3	2761	2760	409	1	0	0	204	318	167	93	191	219	135	124	76	119	198	125	58	83	114	86	118	32	45	113	30	28	84
TIAL1	2386	2382	402	4	0	0	183	277	139	100	98	134	130	72	60	104	138	96	36	101	37	115	185	31	80	130	23	42	71
DROSHA	2190	2184	383	1	5	0	139	157	103	35	63	85	163	26	128	48	123	94	102	46	19	196	184	59	117	106	42	91	58
CSTF2	3045	3037	375	1	7	0	133	392	165	116	80	248	161	151	68	105	301	138	99	89	55	137	161	45	92	156	30	49	66
RBM22	1884	1881	337	3	0	0	123	166	112	48	55	85	75	44	95	49	78	81	27	59	22	165	187	7	157	134	28	63	21
DDX55	1686	1686	326	0	0	0	166	130	81	42	64	102	58	38	51	51	95	80	10	60	42	109	139	8	137	109	10	51	53
IGF2BP3	2247	2218	324	29	0	0	151	317	103	66	103	130	136	82	31	62	90	185	36	75	43	111	128	21	120	89	16	54	69
DGCR8	1727	1724	313	0	3	0	183	99	93	24	54	36	93	38	148	28	125	66	58	37	2	102	178	1	76	74	10	116	83
FKBP4	1457	1454	312	0	3	0	82	89	28	55	27	24	81	65	70	6	47	38	17	65	3	224	194	2	138	104	30	53	12
SRSF1	1792	1791	277	1	0	0	96	180	62	30	47	85	78	37	118	49	100	83	25	97	39	132	149	9	105	128	39	69	34
RBM15	1502	1500	271	1	1	0	99	166	74	34	53	127	59	39	46	59	40	81	12	76	19	113	121	25	74	92	22	47	22
XRN2	1585	1580	257	0	5	0	82	135	63	41	39	87	101	54	54	38	59	56	28	42	25	137	134	16	180	112	28	40	29
YBX3	2043	2043	245	0	0	0	107	160	85	38	45	86	82	32	98	24	544	174	27	13	26	114	82	4	127	44	35	64	32
SLTM	1287	1274	244	13	0	0	72	93	29	48	16	45	209	81	40	9	23	28	17	31	7	163	105	11	106	63	26	40	12
TIA1	1731	1729	243	2	0	0	113	203	100	71	72	126	87	63	38	59	125	114	24	76	31	71	119	15	61	72	8	33	48
NOLC1	1629	1628	209	1	0	0	148	306	122	93	44	50	39	21	43	23	140	92	24	58	82	38	106	31	61	49	16	21	21
ZC3H11A	1159	1155	197	4	0	0	84	115	100	31	41	50	42	17	40	30	81	47	17	41	46	83	87	13	38	78	14	14	46
FUS	886	882	191	3	1	0	40	92	42	14	22	28	40	36	40	34	68	13	15	16	15	117	102	4	38	61	19	13	13
U2AF1	1100	1094	191	6	0	0	74	128	63	36	35	84	44	14	27	40	90	43	31	57	15	77	65	6	36	48	14	7	60
GRSF1	1065	1008	179	53	4	0	85	83	63	22	35	41	49	19	69	27	44	48	10	45	19	67	69	16	75	65	16	34	7
