protein	peaks_raw	windows	test_windows	off_chrom	no_region	duplicate	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX
AQR	24645	24642	5467	1	2	0	3333	1042	1150	438	903	1304	1378	603	1088	624	1537	1407	144	397	653	1510	1750	150	2527	734	346	933	691
KHSRP	23206	23199	4256	4	3	0	2792	2397	1647	1204	1479	1404	1954	961	767	1071	984	1184	471	451	840	393	747	616	297	316	437	212	575
UCHL5	18573	18565	3737	4	4	0	2316	1186	884	566	985	957	957	540	699	625	1125	1075	179	542	631	796	1138	201	1280	510	262	440	671
YBX3	17982	17979	3628	1	2	0	2079	1157	789	398	760	1100	868	556	661	587	1041	967	259	351	472	962	1153	225	1602	498	218	645	631
ELAC2	13418	13354	3052	51	13	0	1019	650	440	513	467	416	858	424	593	462	591	584	302	221	255	1571	595	124	1508	366	462	634	299
UPF1	13419	13412	2996	0	7	0	1748	594	595	244	468	569	650	328	543	506	803	802	71	262	373	742	1307	113	1206	392	130	658	308
NONO	11455	11427	2993	21	6	1	928	584	269	392	266	250	742	302	454	448	499	334	114	111	177	1617	583	52	1626	383	298	890	108
ZNF622	14978	14969	2972	8	1	0	1957	1084	843	492	829	754	800	421	536	470	830	969	191	452	602	545	909	181	712	399	221	274	498
EXOSC5	12012	12005	2553	6	1	0	1579	964	743	511	729	782	1219	497	326	505	353	327	260	236	437	469	219	313	418	131	251	283	453
PRPF8	11284	11280	2376	3	1	0	1489	758	646	303	496	658	598	324	447	308	767	639	104	218	316	579	687	127	778	280	164	282	312
CSTF2T	10899	10863	2275	1	35	0	958	460	368	412	314	284	592	375	403	277	680	497	183	201	206	1040	616	36	1567	359	230	596	209
SF3B4	10272	10270	2206	1	1	0	1307	531	505	231	377	459	578	302	418	257	657	548	67	169	246	642	785	104	927	285	177	379	319
EWSR1	8803	8786	2120	2	15	0	602	266	161	317	168	83	565	374	462	153	474	318	98	149	65	1365	366	13	1407	291	293	716	80
RBM15	9427	9410	2090	6	11	0	1153	478	464	262	422	667	616	269	341	315	530	419	57	152	253	622	555	101	745	254	151	324	260
DDX24	9602	9600	2077	2	0	0	1218	410	479	189	270	508	547	312	411	192	504	548	31	119	342	667	774	57	799	224	231	418	350
BUD13	8856	8850	2007	2	4	0	1146	437	430	211	314	384	415	275	364	215	544	502	64	158	282	646	671	64	735	260	179	315	239
DDX43	9106	9098	1838	7	1	0	1121	474	459	257	403	509	485	270	382	244	497	463	65	209	239	473	614	96	801	259	154	318	306
ELAVL1	8830	8821	1776	7	2	0	1161	654	536	307	468	525	784	362	290	330	371	447	92	171	278	285	405	175	405	171	136	192	276
HNRNPM	6448	6442	1511	3	3	0	701	407	257	209	329	355	580	184	267	267	256	180	114	53	170	543	237	100	452	130	212	316	123
PTBP1	7797	7790	1462	5	2	0	934	500	409	294	366	504	710	365	285	277	362	370	120	202	259	251	295	118	403	121	115	183	347
LIN28B	6916	6916	1455	0	0	0	936	483	400	189	300	403	316	255	255	258	449	449	46	169	231	261	451	111	361	146	68	156	223
FAM120A	5871	5862	1352	0	9	0	821	310	248	180	331	296	292	163	199	138	324	365	51	152	166	393	417	70	373	149	77	203	144
DDX3X	6681	6672	1300	1	8	0	785	449	315	190	299	393	360	265	233	211	467	361	68	181	217	304	374	105	444	193	91	174	193
AGGF1	7010	7002	1240	7	1	0	499	345	199	234	105	238	376	170	350	234	206	363	245	107	103	507	407	178	499	149	457	805	226
TIA1	5885	5883	1218	0	2	0	697	385	334	214	301	327	386	191	194	220	366	297	65	141	136	301	323	82	329	133	88	191	182
IGF2BP1	5706	5706	1213	0	0	0	749	392	326	234	326	404	307	246	162	245	365	415	55	117	183	219	260	107	144	86	61	148	155
DDX1	3648	3646	1188	2	0	0	150	41	77	121	33	4	238	201	287	8	104	120	55	80	7	1030	65	3	490	39	189	280	24
EFTUD2	5571	5563	1178	8	0	0	719	288	271	100	188	273	281	184	203	127	407	345	31	105	123	332	398	50	546	126	106	168	192
GTF2F1	4974	4964	1103	0	10	0	464	240	152	127	115	189	264	146	217	101	200	196	68	72	86	538	320	33	687	137	163	349	100
PUM2	5384	5382	1101	2	0	0	695	341	321	180	331	350	257	220	171	219	252	303	83	162	196	187	294	85	204	193	77	88	173
EIF4G2	4628	4625	1087	0	3	0	430	202	179	151	186	132	300	111	175	175	231	213	92	77	120	482	182	16	532	130	178	238	93
PABPC4	5829	5828	1075	0	1	0	583	232	272	113	177	347	256	205	190	118	502	320	41	107	167	374	400	46	816	147	50	152	213
FUS	4473	4465	1064	7	1	0	347	215	112	143	121	74	216	88	159	145	311	94	47	69	71	572	168	12	633	146	115	533	74
HNRNPL	5929	5841	996	87	1	0	539	359	297	223	173	309	466	201	268	204	182	245	166	95	144	253	281	161	233	112	323	419	188
TARDBP	4592	4590	975	0	2	0	462	257	188	152	180	186	343	153	186	178	209	209	90	78	111	335	236	46	348	131	179	210	123
MATR3	4875	4868	918	7	0	0	588	362	287	212	207	303	633	273	182	183	202	142	45	78	157	147	116	111	136	78	91	164	171
FXR2	4750	4745	909	5	0	0	512	209	204	56	148	205	273	231	251	141	229	266	31	195	87	256	451	40	404	72	94	109	281
HNRNPK	4919	4823	905	94	2	0	405	138	175	104	149	263	286	98	179	96	288	284	58	78	69	404	281	16	795	182	71	228	176
SLTM	3683	3646	858	36	1	0	214	172	89	196	50	55	295	218	158	57	179	84	78	49	44	587	181	78	299	49	96	382	36
GRWD1	4375	4375	853	0	0	0	570	306	209	149	268	273	238	116	143	130	254	262	40	113	134	153	272	57	266	102	50	99	171
SND1	4147	4132	851	15	0	0	634	242	191	82	188	207	187	92	129	123	517	260	46	88	148	94	188	46	330	65	38	41	196
FMR1	4445	4445	773	0	0	0	455	223	191	55	154	199	242	235	238	89	216	282	14	161	88	229	434	35	352	28	102	123	300
IGF2BP2	3834	3833	757	0	1	0	447	139	176	88	153	269	197	182	111	111	247	327	33	68	94	199	223	36	362	87	37	138	109
U2AF2	3641	3640	741	0	1	0	495	260	230	151	179	280	254	97	118	127	225	200	55	76	95	119	199	66	88	74	55	45	152
DROSHA	3930	3920	734	3	7	0	288	197	138	121	130	123	211	112	206	76	194	160	87	79	59	370	287	30	455	112	72	287	126
RBFOX2	3525	3519	703	1	5	0	323	215	163	106	93	127	193	112	149	88	209	113	25	80	82	292	204	28	367	115	84	236	115
SMNDC1	2469	2468	681	0	1	0	217	122	111	61	54	64	110	57	107	30	122	119	17	52	28	434	157	22	278	70	31	146	59
SRSF1	3866	3864	671	2	0	0	398	121	120	73	166	180	179	131	216	70	238	240	12	93	79	203	298	27	594	86	53	162	125
ILF3	2947	2913	648	34	0	0	341	154	132	67	108	107	197	65	94	68	124	124	32	57	90	239	179	18	336	132	35	105	109
METAP2	3120	3120	639	0	0	0	328	86	135	22	57	167	181	126	78	46	153	202	19	34	39	265	218	6	572	59	29	129	169
RPS3	2377	2372	554	4	1	0	342	101	65	32	90	216	127	43	81	81	196	148	20	36	68	131	159	26	197	13	39	54	107
PUM1	2661	2658	507	3	0	0	348	160	88	36	154	161	99	62	111	84	191	189	17	79	71	75	149	26	241	90	32	83	112
SAFB2	3747	3744	495	3	0	0	315	240	202	136	154	266	499	278	75	92	304	93	67	27	173	88	113	120	45	14	146	189	108
GEMIN5	2655	2640	480	6	9	0	248	144	105	70	101	171	176	66	112	69	163	144	39	37	47	163	140	23	275	65	67	136	79
ZNF800	2445	2436	460	9	0	0	318	133	88	45	121	146	101	88	100	67	172	176	15	53	57	75	176	28	203	61	46	65	102
EIF4E	2148	2142	443	0	6	0	232	140	102	48	88	119	151	70	88	55	121	101	17	37	41	156	126	24	219	50	34	83	40
AKAP8L	2197	2187	404	3	7	0	139	88	59	90	31	44	108	54	86	47	97	115	59	26	24	218	137	7	264	55	109	300	30
PCBP1	2028	2026	386	0	2	0	193	63	68	26	54	128	114	52	42	49	160	144	7	22	43	144	162	7	301	53	27	74	93
QKI	2311	2189	369	118	4	0	246	198	183	126	131	135	155	114	79	78	77	106	57	59	74	45	61	42	43	29	48	47	56
TRA2A	1741	1741	348	0	0	0	208	123	79	49	62	92	89	32	54	78	227	101	24	62	61	62	102	15	89	22	32	11	67
AKAP1	1498	1494	347	1	3	0	213	39	51	20	23	41	50	47	78	61	89	62	8	21	25	73	174	3	238	38	31	85	24
DDX6	1958	1955	342	1	2	0	194	128	93	48	66	129	99	56	71	35	133	87	21	50	53	113	131	11	224	50	34	77	52
NOLC1	1572	1570	322	0	2	0	144	105	61	48	50	107	62	42	65	51	85	79	14	34	43	127	103	21	71	27	25	135	71
LSM11	1351	1339	295	5	7	0	101	52	68	43	32	111	81	32	40	18	52	52	14	15	17	176	67	9	188	27	17	98	29
FXR1	1428	1425	290	3	0	0	211	97	55	11	56	25	30	125	53	27	99	54	5	32	18	52	191	6	18	2	45	8	205
XRN2	1439	1435	276	2	2	0	132	78	68	39	44	74	113	34	66	38	69	60	17	20	39	106	100	10	163	37	32	58	38
MTPAP	1108	1083	274	24	1	0	113	62	33	36	38	29	92	18	30	23	47	57	5	22	34	138	62	9	100	20	27	46	42
EXOSC10	1366	1363	253	2	1	0	165	105	46	61	68	86	64	53	54	37	78	90	18	60	34	51	68	16	88	31	32	23	35
RBM22	991	991	238	0	0	0	162	61	70	25	49	71	63	27	44	24	52	62	9	17	23	52	46	9	34	20	8	30	33
U2AF1	1230	1230	236	0	0	0	142	80	67	49	64	87	84	23	41	43	96	65	17	32	26	51	76	30	35	25	17	21	59
MORC2	904	891	234	11	2	0	63	44	25	28	21	22	54	31	36	9	40	25	26	16	15	162	36	7	119	17	36	55	4
YWHAG	817	798	232	19	0	0	62	33	2	28	20	8	82	61	26	12	33	27	20	5	5	158	32	21	37	9	22	90	5
ZC3H11A	1214	1194	231	20	0	0	148	76	69	35	74	60	60	31	23	30	76	54	15	21	54	53	70	31	65	31	19	50	49
DDX52	1262	1242	228	20	0	0	89	45	48	35	48	29	55	55	58	26	56	54	25	10	10	113	33	1	193	33	64	145	17
GPKOW	1082	1082	223	0	0	0	154	92	76	39	59	77	87	20	39	34	46	73	4	16	40	35	52	19	33	22	22	16	27
MBNL1	1213	1202	204	3	8	0	93	89	63	35	45	47	128	69	36	32	80	37	17	17	38	79	53	6	84	27	24	57	46
AATF	1090	1081	200	8	1	0	121	65	55	14	41	41	58	24	36	9	89	39	15	33	22	70	67	13	135	31	52	31	20
DDX55	1101	1101	200	0	0	0	103	38	34	16	26	56	59	30	56	12	85	51	1	29	21	85	79	1	209	27	12	28	43
APOBEC3C	1021	1021	172	0	0	0	99	59	44	21	39	60	52	24	19	20	102	73	4	33	26	53	63	11	107	19	18	25	50
XRCC6	870	860	170	7	3	0	84	41	42	21	39	42	47	23	30	20	72	37	5	23	19	66	64	8	70	24	35	33	15
DGCR8	1257	1253	155	0	4	0	78	34	58	12	55	23	93	48	150	29	35	37	49	19	6	48	136	0	84	22	10	134	93
DHX30	964	824	152	138	2	0	59	37	34	29	34	20	43	33	34	15	23	28	24	5	3	78	32	1	143	20	24	98	7
FTO	841	840	152	0	1	0	69	48	32	20	17	30	44	25	26	10	38	38	13	17	13	73	50	5	100	26	44	76	26
ADAT1	943	936	145	7	0	0	78	76	65	46	46	49	66	36	36	19	35	32	17	13	36	48	31	17	104	24	11	33	18
CPSF6	791	791	140	0	0	0	105	82	35	35	40	42	55	27	41	17	30	57	14	32	25	18	28	12	20	20	25	11	20
GARS	580	566	135	9	5	0	67	33	34	20	24	40	22	34	8	13	28	19	4	13	25	55	47	4	39	10	15	7	5
TAF15	546	545	127	1	0	0	39	45	11	11	21	6	21	9	15	16	31	7	3	1	6	72	25	2	88	9	10	79	18
KHDRBS1	1226	1220	125	5	1	0	91	71	93	68	68	82	217	95	34	19	66	35	13	9	51	15	43	26	16	15	48	30	15
HNRNPC	516	516	115	0	0	0	84	29	36	20	15	26	50	8	17	17	38	20	4	10	10	14	28	2	34	10	7	20	17
SRSF7	506	504	115	2	0	0	80	36	15	20	20	22	25	10	28	16	27	36	6	12	12	19	19	4	29	12	20	14	22
PHF6	700	695	113	5	0	0	63	30	33	10	23	16	25	18	44	6	43	28	14	5	7	44	41	3	110	10	38	63	21
METTL1	484	481	101	3	0	0	53	18	25	8	17	30	59	21	9	5	30	3	6	18	26	43	51	4	17	2	4	23	9
RYBP	757	756	101	1	0	0	53	59	27	20	34	34	146	65	7	9	95	10	0	5	45	39	25	9	8	2	14	24	26
RNF187	697	696	93	1	0	0	40	46	31	24	21	33	138	71	2	10	93	7	1	5	39	43	24	11	11	5	9	18	14
FASTKD2	612	542	91	62	8	0	34	46	16	13	33	21	31	19	18	12	20	23	18	7	11	45	34	1	70	16	21	20	13
SAFB	527	527	91	0	0	0	58	28	33	11	11	12	51	18	21	15	101	8	3	4	6	18	34	23	21	5	15	25	6
NCBP2	414	406	83	8	0	0	50	30	19	14	14	19	28	11	11	12	20	14	10	6	14	21	29	4	29	10	18	12	11
ZRANB2	379	378	71	0	1	0	28	19	16	5	13	14	12	6	7	8	29	9	2	8	11	35	19	3	100	11	7	11	5
DDX51	427	421	66	6	0	0	37	23	17	17	9	20	38	9	21	7	16	9	11	6	0	22	29	1	61	14	25	24	5
TROVE2	479	472	65	5	2	0	43	36	21	18	12	36	28	12	30	12	29	27	8	21	13	10	31	11	11	5	14	15	29
ZC3H8	257	256	62	1	0	0	48	21	15	2	6	13	10	4	7	7	32	22	2	5	5	7	18	6	4	6	8	2	6
PPIL4	660	659	59	1	0	0	33	25	29	19	9	30	114	58	13	5	167	5	0	3	13	21	13	17	15	1	16	51	2
LARP4	430	430	57	0	0	0	22	23	17	8	14	24	42	33	4	9	68	23	0	11	17	26	10	1	41	7	5	9	16
TBRG4	346	283	56	63	0	0	21	7	16	7	16	7	7	18	14	3	12	9	8	6	0	32	13	1	51	5	12	15	3
RPS6	269	269	50	0	0	0	29	15	8	6	15	24	10	5	9	7	32	13	2	2	9	14	17	2	29	7	2	8	4
NSUN2	190	176	48	8	6	0	23	7	4	0	14	23	4	9	0	3	9	8	4	7	6	22	16	0	12	2	3	0	0
SRSF9	270	264	46	1	5	0	22	21	7	8	15	20	8	11	10	4	24	17	3	4	4	20	15	4	21	11	4	2	9
NIPBL	309	309	43	0	0	0	25	17	25	9	12	16	15	4	14	10	42	20	5	4	7	8	20	6	12	8	15	4	11
EIF3G	282	277	42	5	0	0	31	13	7	8	12	28	12	9	3	5	26	27	0	5	10	6	16	1	29	8	8	4	9
DDX47	267	263	40	4	0	0	10	3	7	0	10	8	4	10	31	1	4	13	8	3	0	29	9	0	69	3	6	34	1
HLTF	244	218	40	26	0	0	21	13	15	7	13	8	26	22	4	16	23	10	1	8	7	3	4	4	2	2	3	4	2
HNRNPA1	201	199	40	1	1	0	19	11	18	8	8	13	16	2	7	9	14	2	3	2	1	12	12	4	11	6	8	10	3
SERBP1	154	154	35	0	0	0	10	9	2	4	2	11	6	6	3	2	11	7	1	0	1	23	7	0	12	3	28	3	3
CPEB4	174	173	34	1	0	0	27	2	6	9	10	11	10	14	2	6	18	3	0	4	3	1	16	5	20	1	1	3	1
HNRNPUL1	216	216	33	0	0	0	11	13	9	7	7	4	19	2	4	3	33	2	3	1	2	19	7	6	15	2	0	38	9
HNRNPU	180	177	32	1	2	0	17	10	8	7	4	9	12	6	6	10	17	6	0	1	9	5	6	1	21	3	6	9	4
LARP7	265	264	30	1	0	0	11	23	7	17	14	15	10	5	10	7	16	8	11	21	2	12	13	8	11	11	17	13	2
