table,column,dtype,example
auroc_aggregation.csv,check,string,"gain, dn arm, kmer, pooled"
auroc_aggregation.csv,value,float,0.06626403675115061
auroc_aggregation.csv,n,int,94
auroc_aggregation.csv,note,empty,
auroc_aggregation_per_dataset.csv,dataset,string,AATF:K562
auroc_aggregation_per_dataset.csv,arm,string,gc
auroc_aggregation_per_dataset.csv,model,string,kmer
auroc_aggregation_per_dataset.csv,n_folds,int,5
auroc_aggregation_per_dataset.csv,pooled,float,0.01644621634068688
auroc_aggregation_per_dataset.csv,fold_averaged,float,0.014483099545006683
auroc_aggregation_per_dataset.csv,rank_pooled,float,0.015081596802497321
baseline_confounding.csv,check,string,"R2, baseline plus dataset fixed effects"
baseline_confounding.csv,value,float,0.8242768118681717
baseline_confounding.csv,note,empty,
baseline_confounding.csv,ci_low,empty,
baseline_confounding.csv,ci_high,empty,
baseline_order.csv,check,string,max |order-2 gain - published gain|
baseline_order.csv,value,float,0.0
baseline_order.csv,n,int,30
baseline_order.csv,ci_low,empty,
baseline_order.csv,ci_high,empty,
baseline_order.csv,note,empty,
baseline_order_models.csv,check,string,max |order-2 gain - R1g published gain|
baseline_order_models.csv,value,float,0.0
baseline_order_models.csv,n,int,94
baseline_order_models.csv,ci_low,empty,
baseline_order_models.csv,ci_high,empty,
baseline_order_models.csv,note,empty,
baseline_order_models_per_dataset.csv,dataset,string,AATF:K562
baseline_order_models_per_dataset.csv,protein,string,AATF
baseline_order_models_per_dataset.csv,cell,string,K562
baseline_order_models_per_dataset.csv,kmer_gain2_gc,float,0.016446216340686992
baseline_order_models_per_dataset.csv,comp2_gc,float,0.843218130457444
baseline_order_models_per_dataset.csv,cnn_gain2_gc,float,0.00636117696481775
baseline_order_models_per_dataset.csv,splicebert_gain2_gc,float,0.02683184890550061
baseline_order_models_per_dataset.csv,kmer_gain3_gc,float,-0.0005662550592958615
baseline_order_models_per_dataset.csv,comp3_gc,float,0.8621766440011436
baseline_order_models_per_dataset.csv,cnn_gain3_gc,float,0.003026155284418963
baseline_order_models_per_dataset.csv,splicebert_gain3_gc,float,0.01334100596682064
baseline_order_models_per_dataset.csv,kmer_published_gc,float,0.0164462163406869
baseline_order_models_per_dataset.csv,cnn_published_gc,float,0.0063611769648177
baseline_order_models_per_dataset.csv,splicebert_published_gc,float,0.0268318489055006
baseline_order_models_per_dataset.csv,kmer_gain2_dn,float,0.04807707941647865
baseline_order_models_per_dataset.csv,comp2_dn,float,0.6362526218143513
baseline_order_models_per_dataset.csv,cnn_gain2_dn,float,-0.014466510520203979
baseline_order_models_per_dataset.csv,splicebert_gain2_dn,float,0.10133660117015697
baseline_order_models_per_dataset.csv,kmer_gain3_dn,float,-0.000722255834312624
baseline_order_models_per_dataset.csv,comp3_dn,float,0.692233439247074
baseline_order_models_per_dataset.csv,cnn_gain3_dn,float,-0.009998622237093469
baseline_order_models_per_dataset.csv,splicebert_gain3_dn,float,0.046590635833302585
baseline_order_models_per_dataset.csv,kmer_published_dn,float,0.0480770794164786
baseline_order_models_per_dataset.csv,cnn_published_dn,float,-0.0144665105202039
baseline_order_models_per_dataset.csv,splicebert_published_dn,float,0.1013366011701569
baseline_order_models_per_dataset.csv,kmer_gain2_neg2,float,0.05085080741904435
baseline_order_models_per_dataset.csv,comp2_neg2,float,0.7559330385007478
baseline_order_models_per_dataset.csv,cnn_gain2_neg2,float,0.00672060184823442
baseline_order_models_per_dataset.csv,splicebert_gain2_neg2,float,0.09071203815970785
baseline_order_models_per_dataset.csv,kmer_gain3_neg2,float,0.001127913892461252
baseline_order_models_per_dataset.csv,comp3_neg2,float,0.8079301447167759
baseline_order_models_per_dataset.csv,cnn_gain3_neg2,float,-0.0018274595095458812
baseline_order_models_per_dataset.csv,splicebert_gain3_neg2,float,0.04528937380095954
baseline_order_models_per_dataset.csv,kmer_published_neg2,float,0.0508508074190443
baseline_order_models_per_dataset.csv,cnn_published_neg2,float,0.0067206018482344
baseline_order_models_per_dataset.csv,splicebert_published_neg2,float,0.0907120381597078
baseline_order_per_dataset.csv,dataset,string,LARP4:K562
baseline_order_per_dataset.csv,protein,string,LARP4
baseline_order_per_dataset.csv,cell,string,K562
baseline_order_per_dataset.csv,gain2_gc,float,0.0023904813412654047
baseline_order_per_dataset.csv,comp2_gc,float,0.7424391563007031
baseline_order_per_dataset.csv,gain3_gc,float,0.00829637641968628
baseline_order_per_dataset.csv,comp3_gc,float,0.7388101676581937
baseline_order_per_dataset.csv,published_gc,float,0.0023904813412654
baseline_order_per_dataset.csv,gain2_dn,float,0.009507842076798334
baseline_order_per_dataset.csv,comp2_dn,float,0.6010870740941049
baseline_order_per_dataset.csv,gain3_dn,float,0.0011952406706327023
baseline_order_per_dataset.csv,comp3_dn,float,0.5772687939426717
baseline_order_per_dataset.csv,published_dn,float,0.0095078420767983
baseline_order_per_dataset.csv,gain2_neg2,float,0.011114115738237063
baseline_order_per_dataset.csv,comp2_neg2,float,0.6963872363439696
baseline_order_per_dataset.csv,gain3_neg2,float,-0.002233639805300114
baseline_order_per_dataset.csv,comp3_neg2,float,0.68644672796106
baseline_order_per_dataset.csv,published_neg2,float,0.011114115738237
candidate_sizes.csv,protein,string,AATF
candidate_sizes.csv,cell,string,K562
candidate_sizes.csv,pairs,int,1081
candidate_sizes.csv,dataset,string,AATF:K562
cluster_intervals.csv,check,string,within_protein_correlation_kmer
cluster_intervals.csv,quantity,string,correlation
cluster_intervals.csv,value,float,0.9239061157462863
cluster_intervals.csv,n_pairs,float,15.0
cluster_intervals.csv,ci_low_dataset,empty,
cluster_intervals.csv,ci_high_dataset,empty,
cluster_intervals.csv,ci_low_protein,empty,
cluster_intervals.csv,ci_high_protein,empty,
cluster_intervals.csv,width_ratio,empty,
cluster_intervals.csv,excludes_zero_clustered,empty,
cluster_intervals.csv,n_datasets,empty,
cobinding_noise.csv,check,string,window exclusion margin applied at const
cobinding_noise.csv,value,float,500.0
cobinding_noise.csv,n,int,94
cobinding_noise.csv,note,empty,
cobinding_noise_per_dataset.csv,dataset,string,AATF:K562
cobinding_noise_per_dataset.csv,protein,string,AATF
cobinding_noise_per_dataset.csv,cell,string,K562
